gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	NE_FB	NE_HFC	NE_KC	NE_KC_Channel	NE_LC	NE_LEC	NE_Lymphocyte	NE_MEC	NE_MEL	NE_Mac-DC	NE_Mast	NE_Pc-vSMC	NE_SGC	NE_Schwann	NE_Sebocyte	NE_VEC	NF_FB	NF_HFC	NF_KC	NF_KC_Channel	NF_LC	NF_LEC	NF_Lymphocyte	NF_MEC	NF_MEL	NF_Mac-DC	NF_Mast	NF_Pc-vSMC	NF_SGC	NF_Schwann	NF_Sebocyte	NF_VEC	NP_FB	NP_HFC	NP_KC	NP_KC_Channel	NP_LC	NP_LEC	NP_Lymphocyte	NP_MEC	NP_MEL	NP_Mac-DC	NP_Mast	NP_Pc-vSMC	NP_SGC	NP_Schwann	NP_VEC	NT_FB	NT_HFC	NT_KC	NT_KC_Channel	NT_LC	NT_LEC	NT_Lymphocyte	NT_MEC	NT_MEL	NT_Mac-DC	NT_Mast	NT_Pc-vSMC	NT_SGC	NT_Schwann	NT_Sebocyte	NT_VEC	PS_FB	PS_HFC	PS_KC	PS_KC_Channel	PS_LC	PS_LEC	PS_Lymphocyte	PS_MEC	PS_MEL	PS_Mac-DC	PS_Mast	PS_Pc-vSMC	PS_SGC	PS_Schwann	PS_Sebocyte	PS_VEC
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.215	0.096	0.005	0.004	0.0	0.001	0.002	0.001	0.003	0.002	0.0	0.0	0.001	0.021	0.0	0.001	0.391	0.244	0.006	0.003	0.003	0.001	0.003	0.001	0.002	0.005	0.0	0.0	0.004	0.012	0.0	0.0	0.145	0.207	0.001	0.0	0.0	0.002	0.001	0.001	0.0	0.006	0.001	0.0	0.0	0.0	0.0	0.239	0.107	0.006	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.316	0.386	0.005	0.02	0.002	0.004	0.016	0.001	0.003	0.009	0.001	0.001	0.003	0.005	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.215	0.096	0.005	0.004	0.0	0.001	0.002	0.001	0.003	0.002	0.0	0.0	0.001	0.021	0.0	0.001	0.391	0.244	0.006	0.003	0.003	0.001	0.003	0.001	0.002	0.005	0.0	0.0	0.004	0.012	0.0	0.0	0.145	0.207	0.001	0.0	0.0	0.002	0.001	0.001	0.0	0.006	0.001	0.0	0.0	0.0	0.0	0.239	0.107	0.006	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.316	0.386	0.005	0.02	0.002	0.004	0.016	0.001	0.003	0.009	0.001	0.001	0.003	0.005	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.001	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.001	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.001	0.0	0.0	0.001	0.0	0.002	0.001	0.0	0.001	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.001	0.001	0.0	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.003	0.001	0.001	0.001	0.0	0.003	0.0	0.001	0.0	0.0	0.003	0.002	0.003	0.001	0.0	0.001	0.002	0.001	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.003	0.004	0.002	0.001	0.001	0.003	0.0	0.0	0.001	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.002	0.001	0.0	0.001	0.002	0.001	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.002	0.0	0.001	0.011	0.0	0.001	0.001	0.0	0.003	0.001	0.0	0.0	0.001	0.004	0.002	0.0	0.004	0.0	0.001
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.006	0.129	0.012	0.225	0.002	0.022	0.05	0.023	0.027	0.005	0.005	0.007	0.299	0.006	1.384	0.037	0.003	0.118	0.029	0.232	0.009	0.034	0.067	0.027	0.017	0.01	0.0	0.009	0.289	0.011	0.804	0.038	0.029	0.032	0.013	0.23	0.014	0.035	0.057	0.028	0.008	0.008	0.0	0.014	0.336	0.02	0.037	0.003	0.12	0.01	0.238	0.005	0.03	0.054	0.013	0.022	0.004	0.01	0.004	0.259	0.002	0.815	0.041	0.005	0.087	0.062	0.207	0.007	0.017	0.053	0.021	0.016	0.011	0.006	0.006	0.216	0.008	0.793	0.027
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.006	0.129	0.012	0.225	0.002	0.022	0.05	0.023	0.027	0.005	0.005	0.007	0.299	0.006	1.384	0.037	0.003	0.118	0.029	0.232	0.009	0.034	0.067	0.027	0.017	0.01	0.0	0.009	0.289	0.011	0.804	0.038	0.029	0.032	0.013	0.23	0.014	0.035	0.057	0.028	0.008	0.008	0.0	0.014	0.336	0.02	0.037	0.003	0.12	0.01	0.238	0.005	0.03	0.054	0.013	0.022	0.004	0.01	0.004	0.259	0.002	0.815	0.041	0.005	0.087	0.062	0.207	0.007	0.017	0.053	0.021	0.016	0.011	0.006	0.006	0.216	0.008	0.793	0.027
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.006	0.129	0.012	0.225	0.002	0.022	0.05	0.023	0.027	0.005	0.005	0.007	0.299	0.006	1.384	0.037	0.003	0.118	0.029	0.232	0.009	0.034	0.067	0.027	0.017	0.01	0.0	0.009	0.289	0.011	0.804	0.038	0.029	0.032	0.013	0.23	0.014	0.035	0.057	0.028	0.008	0.008	0.0	0.014	0.336	0.02	0.037	0.003	0.12	0.01	0.238	0.005	0.03	0.054	0.013	0.022	0.004	0.01	0.004	0.259	0.002	0.815	0.041	0.005	0.087	0.062	0.207	0.007	0.017	0.053	0.021	0.016	0.011	0.006	0.006	0.216	0.008	0.793	0.027
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.006	0.129	0.012	0.225	0.002	0.022	0.05	0.023	0.027	0.005	0.005	0.007	0.299	0.006	1.384	0.037	0.003	0.118	0.029	0.232	0.009	0.034	0.067	0.027	0.017	0.01	0.0	0.009	0.289	0.011	0.804	0.038	0.029	0.032	0.013	0.23	0.014	0.035	0.057	0.028	0.008	0.008	0.0	0.014	0.336	0.02	0.037	0.003	0.12	0.01	0.238	0.005	0.03	0.054	0.013	0.022	0.004	0.01	0.004	0.259	0.002	0.815	0.041	0.005	0.087	0.062	0.207	0.007	0.017	0.053	0.021	0.016	0.011	0.006	0.006	0.216	0.008	0.793	0.027
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.294	0.262	0.285	0.278	0.108	0.061	0.008	0.132	0.332	0.083	0.052	0.321	0.517	0.169	0.517	0.143	0.292	0.294	0.363	0.306	0.108	0.082	0.004	0.165	0.28	0.1	0.041	0.315	0.475	0.193	0.586	0.172	0.287	0.194	0.414	0.276	0.097	0.043	0.008	0.154	0.324	0.098	0.095	0.259	0.425	0.235	0.112	0.279	0.205	0.257	0.242	0.11	0.049	0.004	0.065	0.277	0.098	0.039	0.33	0.438	0.142	0.641	0.106	0.234	0.216	0.303	0.211	0.102	0.042	0.007	0.129	0.285	0.094	0.029	0.249	0.312	0.102	0.388	0.09
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.294	0.262	0.285	0.278	0.108	0.061	0.008	0.132	0.332	0.083	0.052	0.321	0.517	0.169	0.517	0.143	0.292	0.294	0.363	0.306	0.108	0.082	0.004	0.165	0.28	0.1	0.041	0.315	0.475	0.193	0.586	0.172	0.287	0.194	0.414	0.276	0.097	0.043	0.008	0.154	0.324	0.098	0.095	0.259	0.425	0.235	0.112	0.279	0.205	0.257	0.242	0.11	0.049	0.004	0.065	0.277	0.098	0.039	0.33	0.438	0.142	0.641	0.106	0.234	0.216	0.303	0.211	0.102	0.042	0.007	0.129	0.285	0.094	0.029	0.249	0.312	0.102	0.388	0.09
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.008	0.003	0.0	0.001	0.05	0.001	0.0	0.004	0.0	0.007	0.003	0.0	0.001	0.004	0.007	0.001	0.006	0.001	0.004	0.001	0.027	0.001	0.0	0.002	0.001	0.014	0.0	0.0	0.0	0.002	0.0	0.001	0.009	0.0	0.0	0.001	0.007	0.001	0.0	0.003	0.001	0.007	0.0	0.001	0.0	0.004	0.001	0.006	0.0	0.0	0.0	0.032	0.001	0.001	0.007	0.001	0.004	0.0	0.0	0.0	0.001	0.0	0.001	0.013	0.001	0.001	0.0	0.027	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.001	0.001	0.0	0.001
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	CYP11A1	0.008	0.003	0.0	0.001	0.006	0.001	0.0	0.004	0.0	0.005	0.003	0.0	0.001	0.004	0.007	0.001	0.006	0.001	0.004	0.001	0.01	0.001	0.0	0.002	0.001	0.008	0.0	0.0	0.0	0.002	0.0	0.001	0.009	0.0	0.0	0.001	0.0	0.001	0.0	0.003	0.001	0.007	0.0	0.001	0.0	0.004	0.001	0.006	0.0	0.0	0.0	0.008	0.001	0.001	0.007	0.001	0.004	0.0	0.0	0.0	0.001	0.0	0.001	0.013	0.001	0.001	0.0	0.003	0.0	0.0	0.0	0.001	0.002	0.0	0.0	0.001	0.001	0.0	0.001
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	CYP3A4	0.0	0.001	0.003	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.001	0.001	0.004	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.019	0.0	0.0	0.002	0.018	0.05	0.01	0.001	0.004	0.118	0.003	0.015	0.012	0.044	0.0	0.033	0.019	0.002	0.0	0.002	0.027	0.052	0.008	0.004	0.003	0.066	0.0	0.017	0.029	0.043	0.0	0.026	0.02	0.0	0.0	0.004	0.025	0.018	0.001	0.0	0.001	0.086	0.002	0.009	0.02	0.042	0.015	0.016	0.001	0.001	0.001	0.018	0.037	0.013	0.0	0.005	0.116	0.0	0.02	0.008	0.041	0.0	0.041	0.027	0.002	0.0	0.002	0.028	0.033	0.008	0.0	0.003	0.104	0.0	0.014	0.015	0.042	0.0	0.032
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.019	0.0	0.0	0.002	0.018	0.05	0.01	0.001	0.004	0.118	0.003	0.015	0.012	0.044	0.0	0.033	0.019	0.002	0.0	0.002	0.027	0.052	0.008	0.004	0.003	0.066	0.0	0.017	0.029	0.043	0.0	0.026	0.02	0.0	0.0	0.004	0.025	0.018	0.001	0.0	0.001	0.086	0.002	0.009	0.02	0.042	0.015	0.016	0.001	0.001	0.001	0.018	0.037	0.013	0.0	0.005	0.116	0.0	0.02	0.008	0.041	0.0	0.041	0.027	0.002	0.0	0.002	0.028	0.033	0.008	0.0	0.003	0.104	0.0	0.014	0.015	0.042	0.0	0.032
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.019	0.0	0.0	0.002	0.018	0.05	0.01	0.001	0.004	0.118	0.003	0.015	0.012	0.044	0.0	0.033	0.019	0.002	0.0	0.002	0.027	0.052	0.008	0.004	0.003	0.066	0.0	0.017	0.029	0.043	0.0	0.026	0.02	0.0	0.0	0.004	0.025	0.018	0.001	0.0	0.001	0.086	0.002	0.009	0.02	0.042	0.015	0.016	0.001	0.001	0.001	0.018	0.037	0.013	0.0	0.005	0.116	0.0	0.02	0.008	0.041	0.0	0.041	0.027	0.002	0.0	0.002	0.028	0.033	0.008	0.0	0.003	0.104	0.0	0.014	0.015	0.042	0.0	0.032
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.058	0.073	0.078	0.111	0.201	0.067	0.086	0.061	0.109	0.161	0.041	0.04	0.058	0.059	0.105	0.102	0.052	0.077	0.09	0.131	0.166	0.067	0.061	0.048	0.088	0.167	0.048	0.045	0.043	0.049	0.126	0.107	0.052	0.059	0.098	0.106	0.134	0.062	0.089	0.063	0.144	0.139	0.046	0.033	0.048	0.037	0.082	0.06	0.073	0.076	0.132	0.161	0.065	0.077	0.038	0.126	0.162	0.026	0.047	0.07	0.054	0.076	0.109	0.07	0.047	0.106	0.127	0.199	0.064	0.086	0.068	0.086	0.183	0.027	0.066	0.086	0.056	0.101	0.113
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.058	0.073	0.078	0.111	0.201	0.067	0.086	0.061	0.109	0.161	0.041	0.04	0.058	0.059	0.105	0.102	0.052	0.077	0.09	0.131	0.166	0.067	0.061	0.048	0.088	0.167	0.048	0.045	0.043	0.049	0.126	0.107	0.052	0.059	0.098	0.106	0.134	0.062	0.089	0.063	0.144	0.139	0.046	0.033	0.048	0.037	0.082	0.06	0.073	0.076	0.132	0.161	0.065	0.077	0.038	0.126	0.162	0.026	0.047	0.07	0.054	0.076	0.109	0.07	0.047	0.106	0.127	0.199	0.064	0.086	0.068	0.086	0.183	0.027	0.066	0.086	0.056	0.101	0.113
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.058	0.073	0.078	0.111	0.201	0.067	0.086	0.061	0.109	0.161	0.041	0.04	0.058	0.059	0.105	0.102	0.052	0.077	0.09	0.131	0.166	0.067	0.061	0.048	0.088	0.167	0.048	0.045	0.043	0.049	0.126	0.107	0.052	0.059	0.098	0.106	0.134	0.062	0.089	0.063	0.144	0.139	0.046	0.033	0.048	0.037	0.082	0.06	0.073	0.076	0.132	0.161	0.065	0.077	0.038	0.126	0.162	0.026	0.047	0.07	0.054	0.076	0.109	0.07	0.047	0.106	0.127	0.199	0.064	0.086	0.068	0.086	0.183	0.027	0.066	0.086	0.056	0.101	0.113
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.0	0.001	0.024	0.001	0.585	0.002	0.001	0.001	0.0	0.332	0.074	0.001	0.001	0.003	0.789	0.0	0.0	0.001	0.011	0.0	0.455	0.001	0.001	0.0	0.0	0.148	0.058	0.0	0.0	0.0	0.473	0.0	0.0	0.0	0.002	0.0	0.462	0.001	0.0	0.001	0.0	0.246	0.289	0.0	0.0	0.0	0.0	0.0	0.002	0.019	0.001	0.579	0.0	0.001	0.0	0.0	0.3	0.061	0.001	0.001	0.0	0.925	0.0	0.0	0.0	0.008	0.0	0.476	0.001	0.001	0.029	0.0	0.307	0.081	0.0	0.002	0.001	0.863	0.0
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.002	0.0	0.0	0.001	0.782	0.003	0.01	0.002	0.001	0.27	0.341	0.001	0.001	0.001	0.0	0.001	0.003	0.0	0.0	0.0	0.849	0.005	0.007	0.003	0.001	0.402	0.456	0.001	0.001	0.002	0.0	0.002	0.002	0.057	0.0	0.0	0.731	0.008	0.022	0.0	0.002	0.442	0.481	0.001	0.001	0.001	0.001	0.004	0.001	0.001	0.001	0.797	0.003	0.007	0.002	0.001	0.267	0.376	0.001	0.0	0.002	0.0	0.001	0.002	0.0	0.002	0.0	0.873	0.003	0.016	0.0	0.002	0.494	0.435	0.001	0.0	0.002	0.0	0.002
