Gene	C	Z	Pval	FDR	Module
FTX	0.1457751586258863	24.95478229485311	9.474080691874404e-138	1.8948161383748808e-137	Female_Mast_M2
EIF4A2	0.131795189275506	24.80922791839657	3.564077764128055e-136	7.000867036680108e-136	Female_Mast_M6
CST7	0.1362831722262314	24.77078086408543	9.258609514759719e-136	1.7867492046027528e-135	Female_Mast_M5
FNDC3B	0.1435240255615931	24.475930683229404	1.332890352878518e-132	2.527895496838569e-132	Female_Mast_M1
PRKCE	0.1408076443363417	24.13750642496891	5.050333384385044e-129	9.415875801395844e-129	Female_Mast_M1
CSNK1A1	0.1334363548048314	23.656602583551862	5.0468731759489206e-124	9.252600822573023e-124	Female_Mast_M1
FXYD5	0.1286856395695242	22.26248181977624	4.2693554671157394e-110	7.574662925527924e-110	Female_Mast_M5
SNX9	0.1277351834297586	22.16023634805849	4.155669284403323e-109	7.25593049657723e-109	Female_Mast_M1
ENSA	0.1282968432455075	21.95559725059456	3.828431403219337e-107	6.478883913140416e-107	Female_Mast_M3
KCNQ1	0.1283311136405031	21.80739471859807	9.870082047339644e-106	1.6450136745566074e-105	Female_Mast_M2
HBP1	0.1192473088055499	21.126388629626963	2.2752419380694245e-99	3.735471838621443e-99	Female_Mast_M4
FRMD4B	0.1199384292653702	21.07184172496666	7.210595935931656e-99	1.1664199308124739e-98	Female_Mast_M4
RPS3A	0.1277642467831831	20.05140208987959	9.811802034659019e-90	1.5201383433978766e-89	Female_Mast_M5
KDM6A	0.1144360358317768	19.7615820798513	3.1887122629813672e-87	4.871643735110421e-87	Female_Mast_M4
NUMB	0.1137012621637575	19.508842913382285	4.617438852117435e-85	6.957784571683806e-85	Female_Mast_M1
SPAG9	0.1144173773176162	19.46867603734749	1.0121815976768008e-84	1.504594266816866e-84	Female_Mast_M4
RSRP1	0.1104205386166534	19.438264119374544	1.8317659411375232e-84	2.6865900470017007e-84	Female_Mast_M6
AHI1	0.1096316102018183	19.347805928000376	1.063530752738574e-83	1.5393208263321464e-83	Female_Mast_M1
STK4	0.1076280868785959	18.428281050683434	3.8959888967608204e-76	5.565698423944029e-76	Female_Mast_M4
DDX17	0.1052674923584425	18.34258849214436	1.8917287852397743e-75	2.6678226458509643e-75	Female_Mast_M1
NEK1	0.1034744552050391	17.84945902315485	1.4592486993841494e-71	2.031865277623499e-71	Female_Mast_M3
ADK	0.1055203643813907	17.77764894295128	5.2652079819454326e-71	7.23966097517497e-71	Female_Mast_M1
RGS10	0.0983842394519162	17.483656406808116	9.542930345691683e-69	1.2959535037359075e-68	Female_Mast_M5
RYR3	0.1040273579452466	17.258212453167147	4.853481720251804e-67	6.510768161313395e-67	Female_Mast_M1
FERMT2	0.0954442569695971	17.129989212133115	4.4335578302345195e-66	5.875799534045749e-66	Female_Mast_M4
NAALADL2	0.095671980864945	16.52638899038873	1.1845923689323688e-61	1.5512519116971492e-61	Female_Mast_M2
MACF1	0.0923373588722504	15.924271916135757	2.1499485429456068e-57	2.749934182837404e-57	Female_Mast_M1
MSN	0.0902546754739147	15.835518547938978	8.849701036661658e-57	1.1189277172790605e-56	Female_Mast_M1
TIMP1	0.0888912372397875	15.79320136953228	1.732685582580646e-56	2.165856978225808e-56	Female_Mast_M2
EMILIN2	0.0879373579668496	15.417104247916171	6.280586590545763e-54	7.676272499555932e-54	Female_Mast_M1
DSTN	0.0880258990386369	15.267235464321113	6.32100255772438e-53	7.640772322523976e-53	Female_Mast_M1
LCP1	0.0814471805166766	14.308698110214085	9.654715040718784e-47	1.1543681026946372e-46	Female_Mast_M2
PAFAH1B1	0.0794685345841445	13.75096958504954	2.5125759864482904e-43	2.9718640699926014e-43	Female_Mast_M1
COX17	0.0747597750118552	12.93227452306947	1.4796629058966752e-38	1.6954470796732741e-38	Female_Mast_M5
PDIA3	0.0622882425858465	11.0441529875672	1.169818275602802e-28	1.2868001031630824e-28	Female_Mast_M1
COX6A1	0.0625642165811463	10.961886394787095	2.9135941282424835e-28	3.1732213277888435e-28	Female_Mast_M5
TRA2A	0.0616059244053784	10.820796941372976	1.3719052485009334e-27	1.4795056601480655e-27	Female_Mast_M6
SNRPD2	0.0589582765705609	10.58140481342889	1.8173359288877743e-26	1.9408441958995647e-26	Female_Mast_M5
PPP1R15B	0.0503428211021216	9.158086850435035	2.6412746451981463e-20	2.7409453865263785e-20	Female_Mast_M3
SEM1	0.046741664730737	8.173056698043162	1.5033629584521503e-16	1.5455133217732391e-16	Female_Mast_M5
KRT9	0.9341146915042328	2144.4079946848938	0.0	0.0	Female_KC_M3
MT4	0.93104227882674	2079.1114669275007	0.0	0.0	Female_KC_M3
S100A8	0.8740354612459783	2006.5917521435588	0.0	0.0	Female_KC_M4
S100A9	0.8766971733971867	2002.1119639644685	0.0	0.0	Female_KC_M4
S100A7	0.8625494126331775	1953.3848100898192	0.0	0.0	Female_KC_M4
KRT15	0.8592645689546528	1938.583129599698	0.0	0.0	Female_KC_M2
ADGRL3	0.8773860493701189	1904.8321746746312	0.0	0.0	Female_KC_M1
CST6	0.8603100294455631	1873.4185550593932	0.0	0.0	Female_KC_M1
COL17A1	0.8285699833705307	1856.0428439872696	0.0	0.0	Female_KC_M2
POSTN	0.8336698500384767	1839.502215135506	0.0	0.0	Female_KC_M2
IFI27	0.8371389090620125	1833.0416297093384	0.0	0.0	Female_KC_M4
KRT14	0.7838233424452209	1797.6704314964927	0.0	0.0	Female_KC_M2
CXCL14	0.8021348622226628	1776.0217129765172	0.0	0.0	Female_KC_M2
SERPINB4	0.8119451843896998	1770.489309866982	0.0	0.0	Female_KC_M4
DACH1	0.8083478187653472	1758.585095904229	0.0	0.0	Female_KC_M1
SERPINB2	0.7649414388128958	1716.0456130815664	0.0	0.0	Female_KC_M6
APOE	0.7321675961256829	1644.9889670112498	0.0	0.0	Female_KC_M4
LTF	0.7788124398180897	1584.9849036096307	0.0	0.0	Female_KC_M1
SYT8	0.6865567064132939	1526.109310208626	0.0	0.0	Female_KC_M2
SERPINB3	0.7200416135132663	1515.6547217196685	0.0	0.0	Female_KC_M4
MGST1	0.6793615431882062	1502.3623323981778	0.0	0.0	Female_KC_M1
CCL27	0.6829607472426551	1501.1240604122297	0.0	0.0	Female_KC_M4
CSRP2	0.6656025222599752	1491.9529871426223	0.0	0.0	Female_KC_M3
APOBEC3A	0.7157316590068399	1488.7076111549732	0.0	0.0	Female_KC_M6
H19	0.6915438239465282	1415.604375856163	0.0	0.0	Female_KC_M5
SPINK5	0.629360248326247	1400.4111683959336	0.0	0.0	Female_KC_M4
CLDN1	0.6210096891602632	1379.962469541604	0.0	0.0	Female_KC_M6
FOXC1	0.6083415341179358	1363.2576318277388	0.0	0.0	Female_KC_M1
TMEM45A	0.6052662808822434	1338.4559904192176	0.0	0.0	Female_KC_M4
KRT79	0.677929723935546	1332.541947331054	0.0	0.0	Female_KC_M1
KRT16	0.5997319289876339	1326.822299463265	0.0	0.0	Female_KC_M3
SHISA9	0.6261208438423084	1301.3968340653612	0.0	0.0	Female_KC_M3
C10orf99	0.5992196352992283	1294.1042809716416	0.0	0.0	Female_KC_M3
MOXD1	0.6043608325518615	1270.1800080919952	0.0	0.0	Female_KC_M1
SUSD4	0.5853394893001608	1252.3543151158815	0.0	0.0	Female_KC_M1
SAT1	0.5673088034381912	1238.4146418261903	0.0	0.0	Female_KC_M3
CARD18	0.5631364926989375	1231.6837331178183	0.0	0.0	Female_KC_M1
DCN	0.5612096515770824	1203.2183989244284	0.0	0.0	Female_KC_M3
CYP27A1	0.5574381868532465	1202.9545591676683	0.0	0.0	Female_KC_M1
RBP1	0.5354694986995021	1179.890718763906	0.0	0.0	Female_KC_M1
EHBP1	0.5469954909662225	1166.4000454227046	0.0	0.0	Female_KC_M1
LAMB4	0.5615682345491222	1161.8233975773294	0.0	0.0	Female_KC_M2
ITGA6	0.529628213041291	1161.530816515158	0.0	0.0	Female_KC_M2
CCL19	0.5866750067320963	1145.417972632025	0.0	0.0	Female_KC_M1
CSTB	0.5187076881424866	1143.3144583903204	0.0	0.0	Female_KC_M1
IGFBP2	0.5148916107640642	1115.2481624733475	0.0	0.0	Female_KC_M3
CHI3L1	0.5290646773734922	1113.9603409324138	0.0	0.0	Female_KC_M1
SLPI	0.5145517872030327	1112.5678432315406	0.0	0.0	Female_KC_M3
GJB6	0.498305313667561	1109.7920453288632	0.0	0.0	Female_KC_M3
SERPINA12	0.5451626908228445	1104.6532638227586	0.0	0.0	Female_KC_M6
CIDEA	0.4971828623052612	1073.2335801479037	0.0	0.0	Female_KC_M1
SCEL	0.5007628703504269	1068.5926878720154	0.0	0.0	Female_KC_M4
CHI3L2	0.5199493415756221	1063.8424763691544	0.0	0.0	Female_KC_M1
ECRG4	0.5003172084271872	1060.6693177873174	0.0	0.0	Female_KC_M3
IGFBP5	0.491302640344033	1060.6448406817806	0.0	0.0	Female_KC_M3
ARL4C	0.4825820122542704	1060.0950817586522	0.0	0.0	Female_KC_M3
ANXA1	0.4945901760439847	1056.2649692301711	0.0	0.0	Female_KC_M2
APOC1	0.4629200394279293	1023.0298672568802	0.0	0.0	Female_KC_M1
PLA2G4E	0.4747358685846644	1017.986472642027	0.0	0.0	Female_KC_M6
CCN2	0.5025398861493944	1016.5333774223136	0.0	0.0	Female_KC_M1
FST	0.470064248211085	1012.6278745609072	0.0	0.0	Female_KC_M1
NPR3	0.4602597232880355	1002.7817366142068	0.0	0.0	Female_KC_M3
RASGEF1B	0.4632203798752992	1000.513202547424	0.0	0.0	Female_KC_M1
TYMP	0.4562663349902029	994.286936834712	0.0	0.0	Female_KC_M4
CHCHD10	0.4346618041138123	987.0893062995552	0.0	0.0	Female_KC_M1
C15orf48	0.5030755257380114	985.356646260608	0.0	0.0	Female_KC_M1
LGALSL	0.4410346215188297	979.5236938249296	0.0	0.0	Female_KC_M6
SERPINB12	0.4533800790273184	967.2997336432712	0.0	0.0	Female_KC_M3
SERPINB7	0.4636824384730977	960.2438319943188	0.0	0.0	Female_KC_M2
STX11	0.4245339896391017	955.79931930421	0.0	0.0	Female_KC_M6
RNF144B	0.4374995050381929	937.9313509546382	0.0	0.0	Female_KC_M6
SPARCL1	0.5176938477594971	930.870676761826	0.0	0.0	Female_KC_M1
ALDH1A1	0.4297014486472313	923.0347815730896	0.0	0.0	Female_KC_M1
FOXP2	0.4386369987971429	909.704070316157	0.0	0.0	Female_KC_M2
U91319.1	0.4354056440702371	909.267726765094	0.0	0.0	Female_KC_M3
PYDC1	0.4335408465089004	903.7321656227008	0.0	0.0	Female_KC_M4
GLDC	0.444879599459946	900.7548441556136	0.0	0.0	Female_KC_M1
VSIG10L2	0.4339804844287103	898.2668912390142	0.0	0.0	Female_KC_M3
CDH12	0.4289634698545612	872.1419329525999	0.0	0.0	Female_KC_M1
NEBL	0.4132153132045043	871.5194877525619	0.0	0.0	Female_KC_M4
GMDS	0.4043030849508832	868.676443132716	0.0	0.0	Female_KC_M1
LSP1	0.402547184707243	862.0145756395743	0.0	0.0	Female_KC_M5
DPP6	0.4209709658266803	857.7598384674241	0.0	0.0	Female_KC_M4
RNF19A	0.3907625725682642	841.8571100774429	0.0	0.0	Female_KC_M4
WFDC2	0.4092443590901582	838.1145881993374	0.0	0.0	Female_KC_M1
SGCD	0.4107086554835557	837.3399761617193	0.0	0.0	Female_KC_M1
ADRB2	0.3789049358945558	830.4917650860441	0.0	0.0	Female_KC_M2
GATA3	0.3867131846614571	828.5155313675685	0.0	0.0	Female_KC_M4
FRY	0.3994306277032176	825.2304116137103	0.0	0.0	Female_KC_M1
EHF	0.3853374253903516	824.1082429080554	0.0	0.0	Female_KC_M6
EFEMP1	0.3902655294437916	821.9760516460342	0.0	0.0	Female_KC_M2
CECR2	0.3853201581580462	817.9926012604326	0.0	0.0	Female_KC_M1
PPARG	0.4033476566337867	816.9590902381151	0.0	0.0	Female_KC_M1
TBX1	0.3986437743665657	816.360866226724	0.0	0.0	Female_KC_M3
EN1	0.3937403652742785	815.74332416212	0.0	0.0	Female_KC_M3
GDPD2	0.3672435706625127	812.1707079311338	0.0	0.0	Female_KC_M2
LTBP1	0.3862741877840077	812.1187091586166	0.0	0.0	Female_KC_M1
NAV3	0.3984350160671263	811.6826148685294	0.0	0.0	Female_KC_M3
COL7A1	0.3908156368712127	810.6909055444133	0.0	0.0	Female_KC_M2
CYP1B1	0.3906589590609217	808.9032844548013	0.0	0.0	Female_KC_M1
BASP1	0.3730483492053087	799.588073215325	0.0	0.0	Female_KC_M3
PMP22	0.3808864657960237	785.5236246731406	0.0	0.0	Female_KC_M6
EGR2	0.358064468787453	775.1636607901494	0.0	0.0	Female_KC_M4
LGR6	0.3819813463537154	768.3346813996945	0.0	0.0	Female_KC_M3
AC022101.1	0.3794115472059962	766.9900211149057	0.0	0.0	Female_KC_M3
EREG	0.4120222824508508	765.8748182643616	0.0	0.0	Female_KC_M6
CALN1	0.3714716941796044	757.0669361436222	0.0	0.0	Female_KC_M5
EPGN	0.3636684738986452	748.6723137047194	0.0	0.0	Female_KC_M2
IL6R	0.3379240334259838	747.8695048977889	0.0	0.0	Female_KC_M2
DAPL1	0.3475412079119689	747.3555534671244	0.0	0.0	Female_KC_M3
RARRES2	0.360943405977058	745.3242455114292	0.0	0.0	Female_KC_M4
IQCG	0.3470554023132083	743.1047053308981	0.0	0.0	Female_KC_M4
SLC25A48	0.3667894846744443	737.158933112496	0.0	0.0	Female_KC_M2
ARHGAP28	0.3566511784630091	735.5044026754294	0.0	0.0	Female_KC_M1
GATM	0.3418109018075899	731.310355036978	0.0	0.0	Female_KC_M4
BMERB1	0.3463697144965885	731.1206456262059	0.0	0.0	Female_KC_M1
HSPB8	0.3411172277364495	723.4947760665203	0.0	0.0	Female_KC_M2
SOBP	0.3368745707712121	720.0723303976052	0.0	0.0	Female_KC_M1
ADAMTS9	0.3717980340719531	719.5879308372392	0.0	0.0	Female_KC_M1
GSTM3	0.3321293464417939	718.6519470726039	0.0	0.0	Female_KC_M2
PTGS2	0.3405697792918313	714.2554934772677	0.0	0.0	Female_KC_M2
GRIA4	0.3769099931853788	712.7852616370882	0.0	0.0	Female_KC_M1
RBMS3	0.361398390186012	711.3123231568422	0.0	0.0	Female_KC_M1
TNFSF10	0.3379792173504592	711.2554056174399	0.0	0.0	Female_KC_M4
ADAM23	0.3581812011992745	709.5534831261756	0.0	0.0	Female_KC_M3
IGFBP4	0.3329052525220826	706.8217189573178	0.0	0.0	Female_KC_M1
RDH12	0.320340677376582	705.751042676096	0.0	0.0	Female_KC_M4
TNNT1	0.317305032997266	704.554263672932	0.0	0.0	Female_KC_M2
TMEM45B	0.3277487907991789	703.2453354465507	0.0	0.0	Female_KC_M6
FAAH2	0.3344216224960613	702.3976815883009	0.0	0.0	Female_KC_M1
EPHA4	0.3373140927652424	701.9447622810233	0.0	0.0	Female_KC_M1
BMPR1B	0.3388131641717522	700.8122768875384	0.0	0.0	Female_KC_M2
GATA6	0.3158990040802392	698.3137149780406	0.0	0.0	Female_KC_M1
SGPP2	0.3216943257617802	695.8984619164978	0.0	0.0	Female_KC_M4
PDZRN3	0.3530595808778567	693.9416213301512	0.0	0.0	Female_KC_M1
CDHR1	0.3337043334144167	692.2129362077319	0.0	0.0	Female_KC_M5
GULP1	0.3356721979508795	687.1897135421373	0.0	0.0	Female_KC_M1
SPON2	0.3148600199096171	684.4198872168247	0.0	0.0	Female_KC_M2
ARHGAP24	0.3231820422479909	681.6096432114615	0.0	0.0	Female_KC_M1
CCDC178	0.3551495769103159	678.2550025223104	0.0	0.0	Female_KC_M3
EPHX3	0.3023259796469228	667.8416675664419	0.0	0.0	Female_KC_M4
PDZK1IP1	0.300017797921765	663.6999836042888	0.0	0.0	Female_KC_M4
EEF2K	0.3183660438365477	662.1919336629137	0.0	0.0	Female_KC_M5
CHL1	0.319894445440871	660.6110764155277	0.0	0.0	Female_KC_M2
EPPK1	0.3092495647711897	659.7686500520442	0.0	0.0	Female_KC_M6
TCF4	0.3116242054990975	656.8054187875622	0.0	0.0	Female_KC_M2
PLA2G4E-AS1	0.3051661875783936	653.4769676442369	0.0	0.0	Female_KC_M6
BNC2	0.320674316652208	650.8229491588496	0.0	0.0	Female_KC_M1
EGR3	0.2949113772057263	650.7337948792506	0.0	0.0	Female_KC_M4
FXYD6	0.2898165257096904	641.4904368210001	0.0	0.0	Female_KC_M1
ANKRD33B	0.3013083628766163	639.8340305644957	0.0	0.0	Female_KC_M6
IL15	0.3214995230025196	639.3849611355942	0.0	0.0	Female_KC_M1
SLC16A10	0.3088487647865027	632.2560903172034	0.0	0.0	Female_KC_M4
SLC28A3	0.3061810750741378	631.2238389359144	0.0	0.0	Female_KC_M4
SPINK6	0.3299124388543498	628.3030148025581	0.0	0.0	Female_KC_M3
GSTA3	0.2833897530862671	627.9139403928234	0.0	0.0	Female_KC_M4
SLC27A6	0.309506184478602	623.677363316284	0.0	0.0	Female_KC_M1
BMP2	0.2794603989105322	618.8483093410408	0.0	0.0	Female_KC_M2
SNCA	0.2880823195998586	617.7064722638742	0.0	0.0	Female_KC_M2
GFRA1	0.298022052439451	613.7463105599229	0.0	0.0	Female_KC_M1
ATRNL1	0.3033394057204816	609.992115312396	0.0	0.0	Female_KC_M1
KYNU	0.3252464421916681	605.6672365952879	0.0	0.0	Female_KC_M1
GRHL1	0.2798808396130594	603.4456853341649	0.0	0.0	Female_KC_M4
SLC7A8	0.2772892124184446	599.6454670904702	0.0	0.0	Female_KC_M3
IL34	0.2938700024584131	598.67807345227	0.0	0.0	Female_KC_M4
AL451123.1	0.2886463861324668	597.1059590655084	0.0	0.0	Female_KC_M2
ADAMTSL3	0.2955638390643988	595.9480423017709	0.0	0.0	Female_KC_M2
PTPRZ1	0.288331921678617	594.6206258455786	0.0	0.0	Female_KC_M3
CRACR2B	0.2896571344177973	594.2351723336207	0.0	0.0	Female_KC_M1
SERPINB10	0.3153598278670889	592.3867968339433	0.0	0.0	Female_KC_M2
GPC6	0.3014206813467122	589.2023765378381	0.0	0.0	Female_KC_M1
ACKR3	0.2747918904832894	584.7960263980297	0.0	0.0	Female_KC_M2
TBX3	0.2772414752137401	583.3710547213777	0.0	0.0	Female_KC_M3
CAPN14	0.2911671548831754	582.7465529547068	0.0	0.0	Female_KC_M3
LIPH	0.2794599242305002	578.7334977932582	0.0	0.0	Female_KC_M1
ZNF704	0.2769878694912216	575.9922965443983	0.0	0.0	Female_KC_M2
LINC01956	0.2864299021195573	574.252497376758	0.0	0.0	Female_KC_M3
PLA2R1	0.2794803007638458	571.8915716188243	0.0	0.0	Female_KC_M2
TSPAN5	0.2664573855152675	569.8050277893155	0.0	0.0	Female_KC_M4
CKB	0.262124704951489	569.5037818936753	0.0	0.0	Female_KC_M3
ADAMTS9-AS2	0.2816759059161345	568.7477116288967	0.0	0.0	Female_KC_M1
PELI2	0.2681016414880505	566.7451221172156	0.0	0.0	Female_KC_M1
SOSTDC1	0.2627616045882715	564.1053977539146	0.0	0.0	Female_KC_M4
ZC3H12C	0.260359654661252	562.2967149911727	0.0	0.0	Female_KC_M6
SEMA6A	0.2681800942599663	559.9943524435073	0.0	0.0	Female_KC_M1
PON3	0.265754426710338	559.9129985757859	0.0	0.0	Female_KC_M1
LINC01117	0.2784021382594757	558.2294712224682	0.0	0.0	Female_KC_M4
CD200	0.279107959682294	554.7318351061783	0.0	0.0	Female_KC_M1
SLC1A4	0.2619648922815213	554.4937448304502	0.0	0.0	Female_KC_M3
AC005165.1	0.3109865503653899	553.8057959564323	0.0	0.0	Female_KC_M5
AL110292.1	0.2841675943846191	551.5834506165048	0.0	0.0	Female_KC_M1
POU2F3	0.26631311978426	545.2917334528039	0.0	0.0	Female_KC_M4
HSPA2	0.2554811240936839	545.2814519917606	0.0	0.0	Female_KC_M3
S100A7A	0.2748202504458716	542.035496736904	0.0	0.0	Female_KC_M4
TNNI2	0.2676432921376493	541.4843753757144	0.0	0.0	Female_KC_M2
AC073210.3	0.2474047820386473	539.7104033880819	0.0	0.0	Female_KC_M4
CAMK2N1	0.2642921914985617	538.5127697020229	0.0	0.0	Female_KC_M3
HCAR2	0.2529991803052245	538.3183373456523	0.0	0.0	Female_KC_M6
PRICKLE2	0.2609768702080673	536.9861652873981	0.0	0.0	Female_KC_M1
MAFB	0.2474239540548742	531.0391977631745	0.0	0.0	Female_KC_M3
CNTN3	0.2622439997677195	529.5990909168922	0.0	0.0	Female_KC_M3
IGFL3	0.2514179040876823	529.5403274861519	0.0	0.0	Female_KC_M4
NEFL	0.2643383622047622	527.2372656597944	0.0	0.0	Female_KC_M3
F2R	0.2434673509594725	527.1369400973551	0.0	0.0	Female_KC_M4
SMAD1	0.2486690561480565	524.9373530364429	0.0	0.0	Female_KC_M1
CHST11	0.2563971863301325	516.069759472573	0.0	0.0	Female_KC_M1
HSD17B2	0.2453137570399013	515.49620893855	0.0	0.0	Female_KC_M1
CDH22	0.2520467955014029	510.877158698631	0.0	0.0	Female_KC_M1
LRRC4C	0.2754764393623488	510.8669142854228	0.0	0.0	Female_KC_M1
UGT2A1	0.2517386539817682	507.97811071905016	0.0	0.0	Female_KC_M1
AC044810.2	0.2648740465726221	507.8198446452497	0.0	0.0	Female_KC_M4
BAMBI	0.2413545740332216	502.3293068529604	0.0	0.0	Female_KC_M3
GANC	0.2392248759960917	502.0200846111156	0.0	0.0	Female_KC_M2
SLIT2	0.2526899469836647	495.02371885792127	0.0	0.0	Female_KC_M6
MTCL1	0.2402356028499598	493.2471138355648	0.0	0.0	Female_KC_M3
KCNH8	0.2364017607072922	492.8838165359536	0.0	0.0	Female_KC_M1
CSGALNACT1	0.2446936210125348	490.2647695338677	0.0	0.0	Female_KC_M1
GPSM2	0.2304542478301134	489.8637895298345	0.0	0.0	Female_KC_M2
PCCA	0.2358526411859509	487.8338096142412	0.0	0.0	Female_KC_M4
AL365226.2	0.2324797292980659	482.66093571043	0.0	0.0	Female_KC_M5
EMID1	0.2307086072739477	478.1116081638374	0.0	0.0	Female_KC_M1
FAXDC2	0.2319495641650806	477.3587898302282	0.0	0.0	Female_KC_M1
RASSF6	0.2275692128603113	474.321324825373	0.0	0.0	Female_KC_M2
WNT16	0.2308470003285862	473.8666170038472	0.0	0.0	Female_KC_M1
TGFBR3	0.2240328426587331	468.4359253750727	0.0	0.0	Female_KC_M2
PAPPA	0.2362470311193667	466.74512556383553	0.0	0.0	Female_KC_M3
MYLK	0.2309590337936692	466.7308580567821	0.0	0.0	Female_KC_M1
CGNL1	0.2332536863767854	463.32330313171656	0.0	0.0	Female_KC_M1
TGFBR2	0.2195656130064521	459.1767178471381	0.0	0.0	Female_KC_M2
KLHL13	0.2247597112355634	458.7245508394308	0.0	0.0	Female_KC_M1
PTGDS	0.2993741001322323	458.4793373253274	0.0	0.0	Female_KC_M1
NFATC2	0.232077299751569	457.6362279551059	0.0	0.0	Female_KC_M1
SLCO4C1	0.2185826421764575	456.6765819116618	0.0	0.0	Female_KC_M1
FREM2	0.2305274440790932	454.9261229214669	0.0	0.0	Female_KC_M3
PDE7A	0.2175687954102539	454.8723898727916	0.0	0.0	Female_KC_M1
