granular_cell_type	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
Granular.Ker	0.48	3.41	1.97	1.4	0.52	1.82	0.1	1.07	7.12	0.94	1.39	0.78	1.06	0.43	1.68	0.74	0.95	0.75	0.62	0.42	0.08	1.5	0.5	0.99	1.87	0.92	2.44	2.01	0.2	0.79	0.37	0.08	0.09	0	0.63	0.09	1.36	0.13	0.05	0.02	0.93	2.84	0.88	0.07	1.74	1.03	3.72	0.07	1.57	1.09	0.85	0.09	2.33	0.84	0.82	0.64	0.3	13.04	0.03	0.93	1.32	1.18	3.98	6.9	0.01	0.33	0.59	2.51	7	0.58
helper T cells	0.71	1.57	0.75	0.61	0.38	0.59	0.86	0.5	0.42	0.98	0.91	0.12	1.06	0.3	0.5	0.43	2.41	2.38	5.96	5.56	4.94	1.62	5.72	3.68	1.78	1.76	3.61	1.26	2.21	1.83	3.58	0.22	0.07	0.14	0.57	0.25	0.42	0.56	0.77	0.13	2.29	1.69	1.93	1.9	0.33	1.13	0.66	0.92	1.08	1.63	0.32	1.02	2.7	2.59	3.82	1.29	0.55	0.29	0.75	1.04	1.09	0.97	0.58	0.8	2.15	0.44	0.5	0.86	0.23	2.36
HF-MFCs	0.94	2.85	0.64	0.64	0.28	1.44	0	0.19	0.45	0.05	0.94	0.16	1.77	0.02	0.09	1.67	0.24	1.41	11.88	5.54	2.78	6.2	1.18	11.59	3.77	2.12	9.4	4.31	5.37	3.39	7.09	0	0	0.07	0	0.05	0	0	0	0	0.78	0.8	0.16	0	0.35	0.02	1.81	0	0.42	0.73	0.21	0	0.21	0.07	0.35	0.45	3.46	0.02	0	0	1.58	0	0	0	0.02	0	0	0	0	0
HF-MSCs	0	0.16	0.48	2.08	0.64	0.96	0.16	0.32	0.32	0	0.8	2.88	1.92	1.12	0	1.6	0	1.76	8.97	3.21	4.33	7.53	2.88	3.85	2.4	2.24	12.98	11.7	2.56	4.17	7.21	0	0	0	0	0	0	0	0	0	1.76	0.32	0.32	0	0	0	0	0	0	3.21	0	0	3.21	0	0	0	0.32	0	0	0	1.6	0	0	0	0	0	0	0	0	0
HF-PCs	0.5	2.47	0.58	2.9	1.05	1.85	0	2.2	0.18	0	3.45	0.67	3.08	0	0.06	2.37	0.01	3.34	7.26	3.5	7.13	5.07	6.92	5.03	2.84	1.6	5.12	6.43	0.83	5.86	4.35	0	0	0.03	0	0.07	0	0	0	0	5.24	1.21	0.5	0	0	0	0.19	0	0.98	1.27	1.17	0	1.38	0.28	0.19	0.13	0.41	0	0	0	0.3	0	0.01	0	0	0	0	0	0	0
Hillock-Club.Epi	0	0.06	0.08	0.61	0.03	0.15	0.08	3.47	0.26	0.14	0.11	0.03	0.05	0.18	0.11	0.17	0.25	1.38	0.12	0.22	0.61	1.77	0.08	0.31	0.2	0.25	0.6	0.06	0.08	0.28	0.31	0.03	0.12	0.05	1.21	0.69	0.09	1.01	0.41	0.18	0.06	1.58	0.03	0.05	0.46	0.18	0.05	0	0.55	0.03	0.11	0	0.12	0.02	1	21.15	0.34	1.54	0.05	14.5	0.06	0.11	0.12	0.83	1.27	0.02	0.14	0.09	39.23	0.49
ILC3	14.44	0	0.28	3.33	1.39	1.11	0	9.17	1.94	0.56	1.67	1.94	1.94	1.11	0	0.28	6.94	3.61	0.83	0	0.83	0.28	1.39	1.39	0.56	1.39	1.11	3.89	0	1.11	0.56	0.28	0	0.56	1.11	0.83	0	0	1.11	0	0.28	0.28	0.56	4.72	1.39	0.28	0.56	0.28	0.28	0	0.83	2.5	0.83	0.28	0	2.78	1.11	0	0.83	2.22	0	1.39	1.11	0.56	6.11	1.11	0	0.56	0.83	1.39
IRS	0	0	0	24.76	1.51	0.19	0	2.84	2.08	0	0.95	6.62	2.84	3.21	0	6.05	0	0	0.76	1.7	0	6.81	3.21	0	3.78	2.84	6.99	5.86	0.57	1.32	2.27	0	0	0	0	0	0	0	0	0	0.57	0.19	0.95	0	0	0	0.19	0	0	3.97	0	0	6.81	0.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KC.Mel	0.13	0	0.13	0	0	0.65	0	0	0.13	0	0.13	0	0	0.13	0.39	0.39	0.26	3.78	0.13	0.13	0.52	3.52	0.26	0	1.17	0.39	0.91	0	0	0	0.39	0.13	0	0.26	0.39	0.13	0	0	0	0.13	0.13	0	0.13	0.13	0	0.13	0	0.13	0	0	0	0.13	0	0.39	0	0.13	0.13	76.95	0	0	0	0	1.69	2.99	0	0	0.78	0.13	1.04	0.39
LC1	0.73	4.24	1.92	0.33	0.33	1.13	0	0.66	0.73	0.79	0.93	2.12	2.19	0.6	2.32	0.2	0.86	4.44	5.63	3.64	0.93	4.44	0	2.58	3.25	3.05	8.34	1.19	2.25	2.52	1.32	0.07	0	0	0.33	0	0.13	0.13	0.4	0	1.79	2.78	1.66	0.33	9.67	4.64	1.19	0.13	0.13	0.73	1.59	0.2	1.26	0.13	1.26	0.99	3.11	0.66	0.07	0.13	0.46	0.6	0.33	0.53	0	0.2	0	0.46	0.26	0
LC2	0	0.64	0.85	0	0	0.21	0.21	0	0	0.21	0	0	2.77	0.85	0	0	0	4.04	7.02	11.49	2.13	1.7	7.87	6.81	5.53	1.7	8.3	1.28	1.7	5.11	6.17	0	0.21	0.21	1.28	0	1.06	1.28	0.85	0	1.49	0.21	0.21	0.21	0.64	0.43	0	0.21	0.85	3.62	0.21	0.21	1.7	0	0.64	0.64	0.43	0	0.64	0	0	0.21	0.85	2.77	0	0	0	0.85	0.64	0.85
LEC1	1.34	0.62	0.78	2.02	0.23	0.56	2.46	0.96	2.07	0.62	1.05	0.78	0.7	0.5	1.51	0.26	0.24	2.08	0.04	0.79	0.04	3.79	0.29	0.63	1.34	1.91	2.54	1.2	0.81	1.85	0.92	3.56	0.43	0.01	1.3	2.18	0.41	0.17	0.55	1.53	0.07	0.4	1.09	2.93	0.67	1.31	0.02	0.4	0.5	1.76	1.15	0.02	1.35	0.16	0.83	0.75	0.73	0.72	6.19	4.53	0.73	3.68	4.18	5.52	2.72	1.76	2.81	0.51	0.9	6.54
LEC2	1.86	1.47	1.6	2.02	0.6	0.99	1.05	0.53	0.89	0.9	0.57	0.82	0.53	0.37	1.83	0.21	1.56	0.98	0.76	0.37	1.93	1.47	0.57	0.57	0.59	1.15	1.35	0.98	0.87	0.83	0.5	1.15	0.28	0.51	1.33	1.17	0.89	1.17	1.6	1.19	0.66	0.96	1.1	1.22	0.74	2.98	0.16	1.21	0.48	0.74	0.71	1.28	0.98	0.83	1.01	0.59	0.85	4.68	4.86	3.69	1.63	3.44	0.94	3.53	5.71	4.75	3.99	1.31	4.15	0.85
M1	0	0	0	0	0	0	0.67	0	0	0	0	0	0.67	1.34	0	0	0.67	16.72	2.34	8.03	2.34	1.34	0	0.67	8.03	4.01	3.68	0	0	7.69	1.67	0	1	5.35	0.33	3.01	0	3.34	0	0.33	5.02	0	0.33	0.33	0.33	0.33	0	0	0	0.67	0	0	0	0.67	0.67	0.67	0	2.01	0.33	0	0.33	1	13.38	0.33	0	0	0	0	0	0.33
M2	0.78	1.35	0.31	1.35	0.56	1.29	0.95	0.81	1.04	1.04	1.57	0.2	0.7	0.67	0.45	0.53	2.92	0.7	0.42	0.45	0.93	0.28	0.34	0.03	0.76	0.08	0.73	0.73	0.03	0.36	0.93	0.11	2.8	1.01	0.2	4.04	0.2	2.3	0.25	0.17	0.45	0.67	1.32	0.48	0.03	0.62	0.34	0.28	0.2	1.68	0.11	0.34	2.13	1.46	2.16	2.97	0.06	1.68	5.92	3.95	0.78	2.16	0.9	0.95	13.6	6.03	7.32	0.56	1.32	5.21
Mast	3.09	0.59	0.73	2.45	0.36	0.55	3.23	1.5	2.5	1.73	2.55	0.32	0.55	0.27	0.41	1.55	2.14	0.5	0.64	0.95	3.82	0.36	1.73	0.05	0.41	0.14	0.32	0.77	0.14	0.18	1.5	0.55	3.91	0.59	0.36	1.86	0.36	1.27	0.82	0.45	1.55	1.45	1.59	5.14	0.77	1.5	0.77	0.41	1.32	1.86	0.09	2.45	3.32	1.91	1.64	1.5	0.05	0.14	1.68	2.64	1.91	2.91	1.14	0.27	10.09	1.77	0.5	0.18	0.59	2.68
MEC	0.09	0.19	1.01	4.04	2.08	1.74	3	0.13	0	0.44	0.22	1.99	1.29	4.13	2.59	9.02	0.03	0.19	11.96	0.22	4.35	0.41	10.86	0.6	0	0.5	0.03	1.48	2.78	0.57	0	0	1.48	10.13	0	14.42	0.06	1.07	0.32	0.47	0.98	0.41	0.35	0.06	0	0	0.06	0	0.6	0	0.44	0	0	1.14	0	0.95	0	0.09	0.32	0	0.44	0.13	0	0	0	0.13	0	0	0	0
Mel_1	0.77	0.45	0.26	1.06	0.4	0.9	0.56	0.74	0.64	0.03	1.35	0.48	1.11	0.37	0.11	0.71	1.14	5.69	1.72	3.23	4.74	9.45	2.51	2.51	8.28	3.63	4.02	7.97	1.59	5.13	3.84	0.29	0.48	1.4	1.43	0.11	0.03	2.01	0.82	0.08	0.87	0.66	0.5	0.79	1.51	0.66	0.21	2.49	0.03	0.66	0.32	0.05	1.99	0.42	0.53	0.61	1.19	1.03	0.03	0	1.64	0.03	0.11	0.32	0.03	0	0.74	0.03	0.05	0.48
Mel_2	1.56	1.43	1.98	1.6	0.28	1.6	0.26	1.5	1.78	0.6	0.86	0.75	0.99	0.93	2.83	0.7	0.88	7.77	0.45	1.93	2.55	3.24	0.35	1.41	3.92	2.62	2.43	2.46	0.83	2.35	4.81	0.68	0.17	0.04	0.81	0.14	1.7	0.04	1.22	0.35	0.31	0.56	0.81	1.06	2.69	2.04	0.89	0.6	0.1	0.81	2.35	0.33	0.72	0.94	0.74	0.81	4.2	0.29	0.16	2.06	2.18	1.54	1.37	3.33	0.06	0.52	1.81	1.19	2.55	0.2
Memory B cells	2.3	1.15	0	0	0	0	0	1.15	0	3.45	0	0	0	1.15	1.15	0	0	5.75	0	2.3	0	0	1.15	0	2.3	0	6.9	0	1.15	0	2.3	0	0	0	0	1.15	0	0	0	0	0	1.15	0	0	0	2.3	0	0	1.15	0	0	0	3.45	6.9	4.6	0	0	14.94	3.45	1.15	0	0	3.45	0	0	2.3	0	0	5.75	16.09
Merkel	0	1.68	0	0	0	0	0	0	0	1.68	0	0	5.04	0	0	0	0.84	0.84	0.84	0	1.68	0.84	0	0	3.36	2.52	1.68	0.84	0	0.84	1.68	5.88	2.52	0.84	6.72	1.68	1.68	0.84	10.92	2.52	4.2	12.61	0	0	0	0.84	0.84	2.52	0	0	1.68	0	0.84	0	0	0	0.84	0	0	17.65	0	0	0	0	0	0	0	0	0	0
Mesenchymal.Fb	2.64	0.94	0.25	2.35	0.77	1.1	0.59	1.22	0.34	0.47	1.56	0.25	0.49	0.12	1.18	0.89	0.94	0.95	0.46	0.27	0.37	0.58	1.54	0.18	0.82	0.44	0.49	1.52	0.18	0.23	0.71	0.11	1.11	0.53	0.32	1.45	0.11	0.9	0.4	0.11	1.15	0.3	2	1.96	0.2	0.24	0.35	0.27	0.13	1.82	0.03	0.04	2.05	0.96	1.82	1.58	0.06	0.5	7.15	6.51	0.56	4.32	1.18	0.68	16.94	4.53	7.18	0.63	1.82	3.18
Mesenchymal.Fb.COCH	4.79	0.31	1.67	3.62	1.89	0.81	0	0.61	0.36	0.19	2.87	1.2	2.7	0	0.36	0.75	4.12	1.84	3.04	1.84	2.95	3.82	4.62	3.2	4.12	1.56	5.68	1.98	1.84	3.59	6.04	0	0	0	0	0	0	0	0.03	0.03	2.65	1.5	3.04	0.28	0.14	0.28	0.64	0.03	0.72	1.81	0.22	0.08	5.26	0.56	1.5	0.36	0.7	0.45	0.06	0.17	6.66	0.11	0.03	0	0.03	0	0.06	0	0	0.25
Mesenchymal.Fb.FGFBP2	0.23	0.34	0.16	1.92	0.25	0.38	9.18	0.72	2.18	1.18	0.72	2.68	2.07	1.63	3.64	3.43	0.12	0.17	0.27	0.27	0.38	1.08	1.02	0.28	0.86	1.22	0.22	3.21	0.48	0.49	0.25	1.1	4.65	4.04	0.76	15.25	0.12	5.25	0.15	5.33	0.46	2.25	0.79	0.66	0	0.02	0.41	0.94	0.54	0.41	0.36	0.01	0.7	1.22	0.14	0.22	0	0.03	2.25	1.41	0.75	0.56	0.29	0.06	2.1	0.76	1.44	0.09	0.32	3.15
Mesenchymal.Fb.INHBA	0.86	0.13	0.39	4.6	0.91	0.55	0.03	1.72	1.67	0.1	2.39	0.97	3.15	0.29	0.54	2.24	0.68	0.97	6.56	2.29	6.17	5.72	9.01	3.75	4.04	3.26	4.11	6.02	0.78	3.18	5.25	0.08	0.05	0.1	0.24	0.32	0.06	0.19	0.02	0.03	1.72	0.26	1.01	0.63	0.05	0.02	0.23	0.02	0.26	1.15	0.31	0	5.13	0.7	1.15	0.32	0.32	0.24	0.6	0.16	1.43	0.1	0.11	0	0.28	0.06	0.11	0	0.02	0.15
MigDC	0.34	0.67	0.34	0.34	1.01	0.67	0	1.01	0	0	0.34	0	5.7	0.34	0.34	0	3.02	1.01	6.71	5.7	2.68	3.02	21.81	2.01	2.01	0.67	4.7	1.01	3.69	3.36	2.35	0	0.34	0	0	0	0	0.34	0.34	0	0.67	0.34	1.34	1.34	0.34	1.01	0.67	0	0	1.34	0.34	0	0.67	0	3.69	1.34	1.01	0.34	1.01	0	0.34	1.01	3.69	0	1.34	0.34	0	0.34	0	1.68
MigLC	0.72	2.16	1.71	0.72	0.21	1.23	0.07	3.25	1.75	1.47	1.61	1.2	1.34	0.07	1.23	0.41	2.4	5.07	0.21	4.35	0.58	4.45	0.34	2.02	9.65	3.42	5.41	3.36	1.47	2.5	3.9	0.65	0	0	0.38	0.03	0.21	0.14	0.14	0.17	0.58	2.43	1.61	0.14	5.51	1.54	0.92	0.38	0.48	0.62	2.5	0	1.47	0.41	0.99	0.79	3.8	0.21	0.07	0.55	0.51	1.1	0.48	0.92	0.03	0.24	0.07	0.58	0.92	0.17
Monocytes	0	0	0	0.75	0	0	0.75	0.75	0.75	0.75	0	0	2.24	0.75	0.75	0	0	5.97	0.75	0.75	0	0.75	0.75	0	0.75	2.99	0	0	0	0.75	0.75	0	0.75	0.75	0	0.75	0	0	0.75	2.24	2.24	0	0	0	0	0	0	0	0.75	0.75	0	0	0	2.24	0	0.75	0	5.97	36.57	2.24	0	0	10.45	0.75	2.99	0.75	1.49	0	0	5.22
NKT cells	1.67	0.67	0	2.34	0	0.67	3.68	4.35	4.01	0.67	0.67	0.67	0.67	2.34	1	3.34	2.68	2.01	0	0.67	3.01	1	0	5.35	1.34	0	0.33	1	2.34	0	0	0	1	1.67	0.67	4.35	0	1	0.33	0.33	2.34	2.34	0.67	0.33	0	0	1.34	0.33	1	0.33	0.33	2.34	1	2.34	4.01	1	0.33	3.34	2.01	1.34	1	1.34	4.35	1.67	1	1.67	3.01	0	0.33	3.01
ORS	0.23	0.67	0.3	2.27	0.9	0.43	0	3.27	2.34	0	4.24	0.6	1.07	0.2	0.07	0.73	0.07	5.21	5.48	5.08	3.01	11.12	3.01	0.1	5.54	3.84	6.78	7.25	3.81	6.54	4.27	0	0	0.03	0	0	0	0	0	0	0.57	1	3.31	0.1	0	0	0.8	0	0.4	2.24	0.43	0	1.54	0.03	0.07	0	0.7	0.13	0	0	0.23	0	0	0	0	0	0	0	0	0
Papillary.Fb	6.61	2.8	1.11	4.91	2.85	2.25	0.22	1.11	2.06	1.76	2.18	0.57	0.68	0.75	0.96	1.42	3.73	0.25	0.54	0.43	1.23	0.43	1.65	0.2	1	0.25	0.26	0.76	0.51	0.78	1.25	1.06	0.26	0.3	2.26	0.35	0.92	0.85	1.52	0.45	1.4	1.75	2.61	2.21	1.81	0.71	1.28	2.65	0.73	0.95	0.41	1.58	0.88	0.15	2.61	3.97	0.36	0.24	3.48	3.79	2.29	2.86	0.55	0.23	2.2	0.82	1.53	0.45	0.24	1.82
Pc1	6.7	2.38	0.6	2.46	0.03	2.42	0.1	1.13	1.5	2.16	4.53	0.58	1.49	1.58	3.07	2.96	4.64	0.2	0	0.28	0	0.11	0.39	0.03	0.24	0.17	0.06	0.15	0.44	0.31	1.18	0.17	0.12	0.01	1.06	0.86	0.21	0.17	0.66	0.09	0.1	2.29	4.53	2.03	1.67	0.92	0.36	0.06	8.04	1.22	0.44	0	5.43	0.17	5.3	3.66	0.39	0	3.05	1.59	0.52	1.86	0.77	0.07	6.06	0.03	0.13	0.18	0.09	3.8
Pc2	4.81	1.65	1.17	1.04	0.46	1.64	0.31	1.24	1.04	2.49	2.7	0.97	3.94	1.41	1.54	1.75	3.44	0.16	0.14	1.25	0.16	0.7	6.4	0.1	0.31	0.55	0.97	2.03	1.31	1.54	1.09	0.21	0.41	0.11	1.58	1.04	0.54	0.21	0.41	0.26	0.11	1.42	2.19	1.39	0.64	1.02	0.64	0.1	2.59	0.97	0.41	0.47	4.11	0.73	2.76	1.46	0.18	0.01	7.1	0.87	0.82	0.71	0.33	0.09	7.58	1.29	0.91	0.44	0.55	5.03
Pc3	4.92	0.79	1.64	1.67	2.1	1.64	0.2	0.46	1.34	0.76	1.93	0.61	2.13	0.96	1.39	0.96	2.51	0.21	3.27	0.79	2.43	0.38	8.69	1.26	0.17	0.78	0.69	0.59	1.4	0.5	1.12	0.31	0.31	1.01	1.7	2	1.06	1.06	1.29	0.76	3.62	1.7	0.84	1.04	2.88	0.84	2.35	0.46	1.64	0.45	0.45	4.23	1.45	0.35	1.17	0.66	0.48	0.07	4.15	0.83	1.17	2.54	0.2	0.18	3.87	0.89	1.04	0.53	0.78	1.35
Plasma cells	0	0	0	0	0	0	0	0.61	0	0.61	0	0	0	0	0	0	0.61	2.42	0	0	15.76	0.61	0	0	0	0.61	0	0	0	4.24	5.45	0	0	0.61	0	0	0	0	0	0	0	0.61	0	0	0	1.82	3.64	0	0.61	1.21	0	0	4.85	2.42	3.64	1.82	0.61	4.85	0.61	1.82	1.82	1.21	8.48	0	0	0	0	0	0	28.48
